yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A089ZUR3	A0A089ZUR3	BRM9_0307 DSM1535_1002 MB9_2085	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfc:BRM9_0307;mfi:DSM1535_1002;				WP_048072570.1;		Methanobacterium formicicum	2162
A0A089ZJ52	A0A089ZJ52	BRM9_2253 DSM1535_1185 MB9_2289	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR025711;	mfc:BRM9_2253;mfi:DSM1535_1185;		PF03413;		WP_048072726.1;		Methanobacterium formicicum	2162
A0A089ZGY8	A0A089ZGY8	BRM9_1633 MB9_0675	Putative membrane protein (RDD family protein)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR010432;	mfc:BRM9_1633;		PF06271;		WP_048085400.1;		Methanobacterium formicicum	2162
A0A089ZDV5	A0A089ZDV5	BRM9_0181 DSM1535_1499 MB9_0146	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR019208;	mfc:BRM9_0181;mfi:DSM1535_1499;		PF09870;		WP_048073888.1;		Methanobacterium formicicum	2162
K2R1S1	K2R1S1	rpl12p rpl12 A994_09908	50S ribosomal protein L12		FUNCTION: Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_01478}.		Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414]	Eukaryotic ribosomal protein P1/P2 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd05832;			IPR038716;IPR027534;IPR022295;					WP_004031413.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I5Q4	A0A090I5Q4	BRM9_0266 DSM1535_1039 MB9_2130	CBS domain-containing protein (Signal transduction protein with CBS domains)				CBS domain;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000644;	mfc:BRM9_0266;mfi:DSM1535_1039;		PF00571;		WP_048072599.1;		Methanobacterium formicicum	2162
K2RR54	K2RR54	A994_10098	Glucosamine-1-phosphate N-acetyltransferase				Complete proteome;Transferase	Predicted	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; biosynthetic process [GO:0009058]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR023915;IPR001451;IPR005835;IPR029044;IPR011004;			PF00132;PF00483;		WP_004031471.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
K2QD78	K2QD78	A994_05801	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum											WP_004030424.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I3L4	A0A090I3L4	DSM1535_1520	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007161;IPR025251;	mfi:DSM1535_1520;	K09138;	PF04016;PF13938;		WP_023991292.1;		Methanobacterium formicicum	2162
A0A089ZGT2	A0A089ZGT2	BRM9_0580 DSM1535_0561 MB9_1619	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012021;	mfc:BRM9_0580;mfi:DSM1535_0561;				WP_048072199.1;		Methanobacterium formicicum	2162
A0A090I4X2	A0A090I4X2	hisA BRM9_1510 DSM1535_2213 MB9_0788	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	5.3.1.16		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 4/9. {ECO:0000256|HAMAP-Rule:MF_01014, ECO:0000256|RuleBase:RU003658}.	Amino-acid biosynthesis;Complete proteome;Cytoplasm;Histidine biosynthesis;Isomerase	Inferred from homology	cytoplasm [GO:0005737]; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; histidine biosynthetic process [GO:0000105]	HisA/HisF family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd04732;			IPR013785;IPR006062;IPR006063;IPR023016;IPR011060;	mfc:BRM9_1510;mfi:DSM1535_2213;	K01814;	PF00977;		WP_048073551.1;	UPA00031;UER00009	Methanobacterium formicicum	2162
A0A090I9P0	A0A090I9P0	DSM1535_1727 MB9_1277	Uncharacterized protein				Coiled coil;Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1727;				WP_048073160.1;		Methanobacterium formicicum	2162
A0A0S4FPT3	A0A0S4FPT3	MB9_1386	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR003745;			PF02593;		WP_060537815.1;		Methanobacterium formicicum	2162
K2RPH4	K2RPH4	A994_12363	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR024096;					WP_004032007.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I8N7	A0A090I8N7	DSM1535_1260	Precorrin-2 C20-methyltransferase (EC 2.1.1.151)	2.1.1.151			Complete proteome;Methyltransferase;Transferase	Inferred from homology	cobalt-factor II C20-methyltransferase activity [GO:0043781]; precorrin-2 C20-methyltransferase activity [GO:0030788]; cobalamin biosynthetic process [GO:0009236]; oxidation-reduction process [GO:0055114]	Precorrin methyltransferase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd11645;			IPR000878;IPR035996;IPR014777;IPR014776;IPR012382;IPR006364;IPR003043;	mfi:DSM1535_1260;	K03394;	PF00590;		WP_048072793.1;		Methanobacterium formicicum	2162
A0A089ZAV8	A0A089ZAV8	BRM9_0345 DSM1535_0952 MB9_2038	RNA-metabolising metallo-beta-lactamase				Complete proteome	Predicted	nucleic acid binding [GO:0003676]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022712;IPR019975;IPR033769;IPR004087;IPR015946;IPR001279;IPR036866;IPR011108;	mfc:BRM9_0345;mfi:DSM1535_0952;	K07041;	PF10996;PF17214;PF16661;PF07521;		WP_048072535.1;		Methanobacterium formicicum	2162
K2RWA6	K2RWA6	A994_02185	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	4.3.2.2		PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|RuleBase:RU361172}.	Coiled coil;Complete proteome;Lyase;Purine biosynthesis	Inferred from homology	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]; 'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]	Lyase 1 family, Adenylosuccinate lyase subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR019468;IPR024083;IPR020557;IPR000362;IPR022761;IPR008948;IPR004769;			PF10397;PF00206;		WP_004029631.1;	UPA00074;UER00132, UPA00075;UER00336	Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I1S6	A0A090I1S6	sucD DSM1535_0562	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	6.2.1.5	FUNCTION: Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit. {ECO:0000256|HAMAP-Rule:MF_01988, ECO:0000256|RuleBase:RU000699}.	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01988, ECO:0000256|RuleBase:RU000699}.	Complete proteome;Ligase;Nucleotide-binding;Tricarboxylic acid cycle	Inferred from homology	cofactor binding [GO:0048037]; nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; tricarboxylic acid cycle [GO:0006099]	Succinate/malate CoA ligase alpha subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017440;IPR033847;IPR003781;IPR005810;IPR005811;IPR036291;IPR016102;	mfi:DSM1535_0562;	K01902;	PF02629;PF00549;		WP_048072200.1;	UPA00223;UER00999	Methanobacterium formicicum	2162
A0A090I0P3	A0A090I0P3	suhB DSM1535_0097	Inositol-1-monophosphatase (EC 3.1.3.25)	3.1.3.25			Complete proteome;Hydrolase	Predicted	inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; phosphatidylinositol phosphorylation [GO:0046854]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR020583;IPR000760;IPR020550;	mfi:DSM1535_0097;	K01092;	PF00459;		WP_048071804.1;		Methanobacterium formicicum	2162
A0A089ZHU8	A0A089ZHU8	BRM9_1223 DSM1535_1904 MB9_1091	Response regulator domain-containing protein				Coiled coil;Complete proteome;Phosphoprotein	Predicted	phosphorelay signal transduction system [GO:0000160]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00156;			IPR011006;IPR041359;IPR001789;	mfc:BRM9_1223;mfi:DSM1535_1904;		PF18546;PF00072;		WP_048073301.1;		Methanobacterium formicicum	2162
A0A090I679	A0A090I679	galE DSM1535_0162	UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2			Complete proteome;Isomerase	Predicted	coenzyme binding [GO:0050662]; UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd05247;			IPR001509;IPR036291;IPR005886;	mfi:DSM1535_0162;	K01784;	PF01370;		WP_048071859.1;		Methanobacterium formicicum	2162
K2RRN0	K2RRN0	A994_09491	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027275;IPR011033;			PF05239;		WP_004031302.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FM70	A0A0S4FM70	MB9_0429	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011989;IPR016024;IPR004155;					WP_060537364.1;		Methanobacterium formicicum	2162
A0A089ZAK4	A0A089ZAK4	mop1 BRM9_0213 DSM1535_1529 MB9_0179	Molybdenum-pterin binding protein Mop1				Complete proteome	Predicted	molybdate ion transport [GO:0015689]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004606;IPR008995;IPR005116;	mfc:BRM9_0213;mfi:DSM1535_1529;		PF03459;		WP_023991301.1;		Methanobacterium formicicum	2162
A0A0S4FM93	A0A0S4FM93	hisC MB9_0498	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	2.6.1.9		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 7/9. {ECO:0000256|HAMAP-Rule:MF_01023}.	Amino-acid biosynthesis;Aminotransferase;Complete proteome;Histidine biosynthesis;Pyridoxal phosphate;Transferase	Inferred from homology	histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]	Class-II pyridoxal-phosphate-dependent aminotransferase family, Histidinol-phosphate aminotransferase subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004839;IPR005861;IPR015424;IPR015422;IPR015421;			PF00155;		WP_060537377.1;	UPA00031;UER00012	Methanobacterium formicicum	2162
A0A090I8S7	A0A090I8S7	trmI DSM1535_1321 MB9_2428	tRNA (Adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.219)	2.1.1.219			Complete proteome;Methyltransferase;S-adenosyl-L-methionine;Transferase	Predicted	tRNA (m1A) methyltransferase complex [GO:0031515]; tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR029063;IPR014816;	mfi:DSM1535_1321;	K07442;	PF08704;				Methanobacterium formicicum	2162
A0A090I4P9	A0A090I4P9	DSM1535_1935	Glucose-methanol-choline oxidoreductase				Complete proteome	Predicted	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR036188;IPR000172;IPR007867;	mfi:DSM1535_1935;		PF05199;PF00732;		WP_048073324.1;		Methanobacterium formicicum	2162
A0A090I1M8	A0A090I1M8	DSM1535_0376 MB9_1484	UPF0173 metal-dependent hydrolase DSM1535_0376				Complete proteome;Hydrolase	Inferred from homology	hydrolase activity [GO:0016787]	UPF0173 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001279;IPR036866;IPR022877;	mfi:DSM1535_0376;						Methanobacterium formicicum	2162
A0A090I3X8	A0A090I3X8	DSM1535_1521	Formylmethanofuran dehydrogenase, subunit E region				Complete proteome	Predicted	zinc ion binding [GO:0008270]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003814;IPR000962;	mfi:DSM1535_1521;	K11261;	PF02663;PF01258;				Methanobacterium formicicum	2162
A0A090I7C8	A0A090I7C8	DSM1535_1770	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_1770;				WP_048073196.1;		Methanobacterium formicicum	2162
A0A090JVY2	A0A090JVY2	ilvE DSM1535_1335	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	2.6.1.42	FUNCTION: Acts on leucine, isoleucine and valine. {ECO:0000256|RuleBase:RU364094}.	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 4/4. {ECO:0000256|RuleBase:RU364094}.; PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 4/4. {ECO:0000256|RuleBase:RU364094}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 4/4. {ECO:0000256|RuleBase:RU364094}.	Amino-acid biosynthesis;Aminotransferase;Branched-chain amino acid biosynthesis;Complete proteome;Pyridoxal phosphate;Transferase	Inferred from homology	L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]	Class-IV pyridoxal-phosphate-dependent aminotransferase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01557;			IPR001544;IPR018300;IPR036038;IPR005785;IPR033939;	mfi:DSM1535_1335;	K00826;	PF01063;		WP_048072856.1;	UPA00047;UER00058, UPA00048;UER00073, UPA00049;UER00062	Methanobacterium formicicum	2162
A0A090I4Z8	A0A090I4Z8	DSM1535_2122 MB9_0887	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum							mfi:DSM1535_2122;				WP_048073476.1;		Methanobacterium formicicum	2162
A0A090I548	A0A090I548	DSM1535_2364	Metallophosphoesterase				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004843;IPR029052;	mfi:DSM1535_2364;	K07098;	PF00149;				Methanobacterium formicicum	2162
K2RTG9	K2RTG9	A994_04045	Archaeoflavoprotein AfpA				Complete proteome	Predicted	catalytic activity [GO:0003824]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014072;IPR036551;IPR003382;			PF02441;		WP_004030025.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090IB44	A0A090IB44	uspA4 BRM9_1775 DSM1535_2414 MB9_0583	Universal stress protein UspA4				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014729;IPR006015;IPR006016;	mfc:BRM9_1775;mfi:DSM1535_2414;		PF00582;		WP_048073714.1;		Methanobacterium formicicum	2162
A0A090I0V7	A0A090I0V7	BRM9_1971 DSM1535_0163 MB9_0385	Nuclease domain-containing protein (Thermonuclease)				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR035437;IPR016071;	mfc:BRM9_1971;mfi:DSM1535_0163;	K01174;	PF00565;		WP_048071860.1;		Methanobacterium formicicum	2162
K2RQ61	K2RQ61	A994_11692	Transcription factor CBF/NF-Y/histone domain-containing protein				Coiled coil;Complete proteome	Predicted	protein heterodimerization activity [GO:0046982]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003958;IPR009072;			PF00808;		WP_004031856.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A0S4FN19	A0A0S4FN19	MB9_0803	Uncharacterized protein				Complete proteome	Predicted	4 iron, 4 sulfur cluster binding [GO:0051539]; methyltransferase activity [GO:0008168]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR034471;IPR013785;IPR034474;IPR007197;			PF04055;		WP_060537504.1;		Methanobacterium formicicum	2162
